name,artists_names,popularity,release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,artists_popularities,artists_genres,artists_followers,predicted_mood
Empire State Of Mind,JAY-Z,81,2009-09-08,0.491,0.956,11.0,-1.538,1.0,0.392,0.0295,0.0,0.46,0.811,173.585,276920,4,85,east coast hip hop,8261609,energetic
Vida Gangster,Lauty Gram,81,2022-12-08,0.693,0.756,4.0,-5.209,0.0,0.0477,0.5,4.67e-05,0.135,0.53,94.884,170058,4,68,rkt,110540,energetic
Father Stretch My Hands Pt. 1,Kanye West,81,2016-06-10,0.724,0.573,7.0,-4.113,1.0,0.0549,0.118,0.0,0.538,0.438,113.088,135920,4,91,chicago rap,19690011,sad
Unforgettable,French Montana,81,2017-07-14,0.726,0.769,6.0,-5.043,1.0,0.123,0.0293,0.0101,0.104,0.733,97.985,233902,4,76,gangster rap,4948693,energetic
Do It To It,ACRAZE,81,2021-08-20,0.854,0.806,11.0,-8.262,0.0,0.0886,0.0209,0.0542,0.0703,0.637,124.927,157890,4,70,covertronica,89211,energetic
The Box,Roddy Ricch,81,2019-12-06,0.896,0.586,10.0,-6.687,0.0,0.0559,0.104,0.0,0.79,0.642,116.971,196653,4,81,melodic rap,9158521,calm
Dior,Pop Smoke,81,2019-07-26,0.548,0.805,7.0,-5.732,1.0,0.351,0.212,0.000389,0.408,0.648,142.094,216387,4,84,brooklyn drill,12280450,energetic
Pure Cocaine,Lil Baby,81,2018-11-30,0.964,0.487,10.0,-6.071,0.0,0.421,0.00127,6.57e-06,0.115,0.107,127.05,154024,4,90,atl hip hop,13597923,calm
Washing Machine Heart,Mitski,81,2018-08-17,0.613,0.822,9.0,-4.087,1.0,0.026,0.0092,0.506,0.429,0.567,105.997,128199,4,80,brooklyn indie,4436612,happy
Swim,Chase Atlantic,81,2017-10-04,0.666,0.542,8.0,-6.429,1.0,0.0392,0.27,0.0,0.0765,0.0771,120.134,228787,4,80,pop,4710516,sad
Mask Off,Future,81,2017-06-30,0.833,0.434,2.0,-8.795,1.0,0.431,0.0102,0.0219,0.165,0.281,150.062,204600,4,91,atl hip hop,13500762,calm
Summer Of '69,Bryan Adams,81,1984-11-05,0.508,0.834,2.0,-6.205,1.0,0.0386,0.0183,0.0,0.0732,0.774,139.131,216053,4,76,canadian pop,3058807,happy
Yeah! (feat. Lil Jon & Ludacris),Usher,81,2004-03-23,0.894,0.791,2.0,-4.699,1.0,0.112,0.0183,0.0,0.0388,0.583,105.018,250373,4,80,atl hip hop,10401529,energetic
death bed (coffee for your head),Powfu,81,2020-02-08,0.726,0.431,8.0,-8.765,0.0,0.135,0.731,0.0,0.696,0.348,144.026,173333,4,72,lo-fi chill,1156413,calm
Close Eyes,DVRST,81,2021-05-25,0.784,0.572,0.0,-9.853,1.0,0.0573,0.0748,0.843,0.139,0.209,96.181,132346,4,73,drift phonk,318219,calm
Attention,Charlie Puth,81,2018-05-11,0.775,0.613,3.0,-4.586,0.0,0.0542,0.109,2.33e-05,0.134,0.797,100.066,208787,4,83,dance pop,19862260,calm
Pussy & Millions (feat. Travis Scott),Drake,81,2022-11-04,0.749,0.63,4.0,-6.652,0.0,0.116,0.0623,0.0,0.353,0.445,122.03,242027,4,97,canadian hip hop,73660940,calm
My Universe,Coldplay,81,2021-10-15,0.573,0.711,1.0,-6.268,0.0,0.0406,0.0114,0.0,0.328,0.47,105.006,226198,4,89,permanent wave,43047939,calm
No Lie,Sean Paul,81,2018-06-29,0.742,0.882,7.0,-2.862,1.0,0.117,0.0466,0.0,0.206,0.463,102.04,221176,4,82,dance pop,4289889,energetic
Blue Hair,TV Girl,81,2018-05-08,0.751,0.72,4.0,-6.376,1.0,0.0303,0.554,0.0497,0.258,0.884,135.73,217000,4,80,indie pop,2134785,calm
You Right,Doja Cat,81,2021-06-25,0.828,0.621,8.0,-6.414,1.0,0.0565,0.0164,0.00233,0.0845,0.436,128.986,186173,4,87,dance pop,24974244,sad
Can't Stop,Red Hot Chili Peppers,81,2002-07-09,0.618,0.938,9.0,-3.442,1.0,0.0456,0.0179,0.0,0.167,0.875,91.455,269000,4,84,alternative rock,19440818,happy
Uptown Funk (feat. Bruno Mars),Mark Ronson,81,2015-01-12,0.856,0.609,0.0,-7.223,1.0,0.0824,0.00801,8.15e-05,0.0344,0.928,114.988,269667,4,76,dance pop,1004739,calm
Right Now,One Direction,81,2013-11-25,0.645,0.78,8.0,-5.165,1.0,0.0319,0.218,0.0,0.0919,0.372,120.008,200400,4,86,boy band,30319623,energetic
Lose You To Love Me,Selena Gomez,81,2020-01-10,0.488,0.343,4.0,-8.985,1.0,0.0436,0.556,0.0,0.21,0.0978,102.819,206459,4,87,dance pop,41326077,sad
Girl With The Tattoo Enter.lewd,Miguel,81,2010-11-26,0.372,0.239,6.0,-11.314,0.0,0.0296,0.856,0.000175,0.168,0.127,113.451,102813,4,83,dance pop,4564827,sad
Cookie,NewJeans,81,2022-08-01,0.847,0.638,0.0,-3.764,1.0,0.0575,0.0596,0.0,0.0894,0.661,156.935,235562,4,84,k-pop,2902877,happy
PLAYA DEL INGLÉS,Quevedo,81,2022-12-15,0.793,0.736,7.0,-3.254,0.0,0.0469,0.0822,0.0,0.109,0.656,112.993,237525,4,89,rap canario,1556300,calm
Can't Hold Us (feat. Ray Dalton),Macklemore,81,2012-10-09,0.633,0.927,2.0,-4.468,1.0,0.0839,0.0267,0.0,0.0986,0.88,146.097,258432,4,79,pop rap,2028108,happy
Kill Bill - Sped Up Version,SZA,81,2023-01-13,0.678,0.798,10.0,-5.195,1.0,0.0316,0.0383,0.269,0.126,0.509,99.941,137528,4,93,pop,11705818,energetic
In The Stars,Benson Boone,81,2022-04-29,0.362,0.54,10.0,-6.031,1.0,0.0528,0.338,0.0,0.139,0.3,78.007,216410,3,72,pop,544423,sad
raining for hours,ame,81,2021-08-13,0.231,0.976,10.0,-27.426,0.0,0.0487,0.152,0.987,0.48,0.00672,96.552,131500,5,66,,766,calm
Satellite,Harry Styles,81,2022-05-20,0.576,0.457,0.0,-6.473,1.0,0.0304,0.143,3.05e-05,0.0917,0.301,138.984,218577,4,90,pop,26880130,sad
The Way I Are,Timbaland,81,2007-01-01,0.731,0.807,3.0,-6.492,0.0,0.1,0.181,0.751,0.319,0.765,114.759,179120,4,79,dance pop,2474467,calm
Unstoppable,Sia,81,2016-10-21,0.468,0.779,9.0,-4.839,1.0,0.0779,0.112,0.000373,0.101,0.26,173.799,217747,4,85,australian dance,25954076,energetic
Just the Way You Are,Bruno Mars,81,2010-10-05,0.635,0.841,5.0,-5.379,1.0,0.0422,0.0134,0.0,0.0622,0.424,109.021,220734,4,89,dance pop,47341543,energetic
Tattoo,Loreen,81,2023-02-25,0.545,0.779,3.0,-6.235,0.0,0.0751,0.243,1.66e-06,0.123,0.303,150.002,183375,4,69,europop,816284,energetic
Doin' Time,Lana Del Rey,81,2019-08-30,0.641,0.559,7.0,-11.132,0.0,0.0355,0.404,0.00402,0.0937,0.523,144.982,202193,4,92,art pop,22394347,sad
Alien Blues,Vundabar,81,2015-07-24,0.467,0.757,3.0,-5.093,1.0,0.033,0.0807,0.908,0.0876,0.433,82.282,155933,4,67,boston indie,284343,calm
Friends,Chase Atlantic,80,2015-02-21,0.422,0.609,11.0,-6.361,0.0,0.0335,0.0114,4.76e-06,0.108,0.0911,107.34,230011,3,80,pop,4710516,sad
Run This Town,JAY-Z,80,2009-09-08,0.632,0.924,1.0,-1.802,1.0,0.29,0.281,0.0,0.263,0.441,86.844,267520,4,85,east coast hip hop,8261609,energetic
Calidad,Grupo Firme,80,2022-07-12,0.731,0.491,0.0,-3.116,1.0,0.029,0.609,0.0,0.262,0.781,132.891,170053,3,81,musica mexicana,9373028,calm
Money Trees,Kendrick Lamar,80,2012,0.716,0.531,7.0,-7.355,1.0,0.122,0.0703,0.0,0.224,0.344,71.994,386907,4,90,conscious hip hop,23452388,calm
No Surprises,Radiohead,80,1997-05-28,0.255,0.393,5.0,-10.654,1.0,0.0278,0.0577,0.00361,0.113,0.118,76.426,229120,4,81,alternative rock,8027285,sad
Space Cadet (feat. Gunna),Metro Boomin,80,2018-11-06,0.901,0.464,5.0,-9.789,0.0,0.0645,0.368,1.71e-05,0.238,0.638,109.004,203267,4,90,rap,3983089,calm
Señorita,Shawn Mendes,80,2019-06-19,0.759,0.548,9.0,-6.049,0.0,0.029,0.0392,0.0,0.0828,0.749,116.967,190800,4,85,canadian pop,41229702,calm
Get Lucky (feat. Pharrell Williams & Nile Rodgers) - Radio Edit,Daft Punk,80,2013-04-19,0.794,0.811,6.0,-8.966,0.0,0.038,0.0426,1.07e-06,0.101,0.862,116.047,248413,4,83,electro,9303160,happy
Tu Aake Dekhle,King,80,2020-09-21,0.77,0.84,11.0,-4.022,1.0,0.107,0.515,0.00452,0.145,0.192,96.012,270000,4,76,hindi hip hop,2510766,energetic
Sultans Of Swing,Dire Straits,80,1978-10-07,0.733,0.794,5.0,-10.023,1.0,0.0307,0.0614,0.0367,0.33,0.931,148.174,348624,4,77,album rock,6539821,happy
Cold Heart - PNAU Remix,Elton John,80,2021-10-22,0.795,0.8,1.0,-6.32,1.0,0.0309,0.0354,7.25e-05,0.0915,0.934,116.032,202735,4,84,glam rock,11304400,energetic
KÁRMIKA,KAROL G,80,2023-02-24,0.876,0.64,6.0,-5.264,1.0,0.392,0.468,0.0,0.143,0.729,97.169,236587,4,93,reggaeton,33856064,calm
Ai Papai,Anitta,80,2022-11-29,0.73,0.966,11.0,-1.794,0.0,0.0619,0.081,7.93e-05,0.0946,0.891,168.091,148049,4,80,funk pop,12756903,energetic
What I've Done,Linkin Park,80,2007-05-14,0.623,0.93,5.0,-5.285,1.0,0.0324,0.0141,1.64e-06,0.138,0.287,120.119,205613,4,87,alternative metal,23069480,energetic
Good Days,SZA,80,2020-12-25,0.436,0.655,1.0,-8.37,0.0,0.0583,0.499,8.1e-06,0.688,0.412,121.002,279204,4,93,pop,11705818,sad
i'm yours sped up,Isabel LaRosa,80,2022-10-28,0.39,0.752,7.0,-7.581,0.0,0.19,0.108,0.00308,0.555,0.637,128.926,127781,1,72,hyperpop,240078,energetic
Words (feat. Zara Larsson),Alesso,80,2022-04-22,0.739,0.586,10.0,-5.079,0.0,0.0472,0.0245,0.000252,0.308,0.444,124.026,142677,4,76,dance pop,3925667,sad
Chasin' You,Morgan Wallen,80,2018-04-27,0.631,0.591,7.0,-5.785,1.0,0.0277,0.657,0.0,0.11,0.489,97.074,205453,4,93,contemporary country,5428604,sad
Sugar,Maroon 5,80,2014-09-02,0.748,0.788,1.0,-7.055,1.0,0.0334,0.0591,0.0,0.0863,0.884,120.076,235493,4,87,pop,40101393,happy
Sex on Fire,Kings of Leon,80,2008-09-23,0.542,0.905,9.0,-5.653,1.0,0.054,0.00172,0.0104,0.136,0.374,153.398,203347,4,75,modern rock,5174688,energetic
Crazy What Love Can Do,David Guetta,80,2022-04-08,0.601,0.713,4.0,-3.758,0.0,0.0449,0.0282,0.0,0.158,0.464,122.872,169756,4,89,big room,25778023,sad
GUCCI LOS PAÑOS,KAROL G,80,2023-02-24,0.791,0.45,2.0,-3.001,1.0,0.0393,0.542,0.0,0.185,0.87,157.953,186453,3,93,reggaeton,33856064,calm
Whiskey Glasses,Morgan Wallen,80,2018-04-27,0.614,0.68,6.0,-4.58,1.0,0.0289,0.369,1.84e-06,0.115,0.707,149.959,234347,4,93,contemporary country,5428604,happy
I Wonder,Kanye West,80,2007-09-11,0.542,0.466,0.0,-8.665,1.0,0.0831,0.141,0.000445,0.125,0.124,191.385,243440,4,91,chicago rap,19690011,sad
TiK ToK,Kesha,80,2010-01-01,0.755,0.837,2.0,-2.718,0.0,0.142,0.0991,0.0,0.289,0.714,120.028,199693,4,77,dance pop,7534114,energetic
I Fall Apart,Post Malone,80,2016-12-09,0.556,0.538,8.0,-5.408,0.0,0.0382,0.0689,0.0,0.196,0.291,143.95,223347,4,89,dfw rap,40179245,sad
Smoke Sprite (feat. RM of BTS),So!YoON!,80,2023-03-14,0.608,0.692,9.0,-3.182,0.0,0.0441,0.151,0.0,0.173,0.569,131.972,242200,4,67,korean indie rock,95661,sad
Human,Rag'n'Bone Man,80,2017-02-10,0.602,0.707,9.0,-4.097,1.0,0.302,0.393,0.0,0.165,0.554,75.087,200187,4,70,neo soul,1675137,calm
Novinha do Onlyfans (Tchan Ran Tchan Tchan),Kadu Martins,80,2022-10-14,0.767,0.684,11.0,-3.221,0.0,0.0431,0.508,0.0,0.0417,0.965,95.001,137661,4,67,forro,61809,calm
"You're Gonna Go Far, Kid",The Offspring,80,2008-06-17,0.55,0.917,0.0,-3.159,1.0,0.0638,0.00428,0.0,0.197,0.601,126.115,177827,4,77,alternative metal,4962210,energetic
Tinnitus (Wanna be a rock),TOMORROW X TOGETHER,80,2023-01-27,0.9,0.725,5.0,-6.213,0.0,0.135,0.179,0.00101,0.0791,0.791,100.015,157262,4,80,k-pop,7763935,calm
Little Dark Age,MGMT,80,2018-02-09,0.705,0.712,6.0,-6.156,1.0,0.0385,0.0102,0.000855,0.1,0.62,97.512,299960,4,75,alternative dance,2750820,calm
AHORA QUÉ,Quevedo,80,2023-01-20,0.447,0.765,2.0,-5.457,0.0,0.0943,0.212,0.0,0.128,0.542,101.545,171429,3,89,rap canario,1556300,energetic
Classic,MKTO,80,2012,0.72,0.791,1.0,-4.689,1.0,0.124,0.0384,0.0,0.157,0.756,102.071,175427,4,67,dance pop,1024910,energetic
Telephones,Vacations,80,2018,0.526,0.447,2.0,-9.268,1.0,0.0274,0.00283,0.0301,0.109,0.183,74.995,212432,4,74,newcastle nsw indie,563675,sad
family ties (with Kendrick Lamar),Baby Keem,80,2021-09-10,0.711,0.611,1.0,-5.453,1.0,0.33,0.00588,0.0,0.23,0.144,134.093,252262,4,80,hip hop,1404187,calm
I'll Be Waiting,Cian Ducrot,80,2022-11-09,0.509,0.619,1.0,-4.102,1.0,0.0391,0.355,0.0,0.0739,0.544,155.955,172547,4,70,irish pop,237645,sad
Bandido Não Dança,Mc Paiva ZS,80,2022-12-27,0.585,0.465,9.0,-7.0,1.0,0.119,0.326,0.0,0.0714,0.512,85.672,126462,5,78,funk carioca,1898347,calm
Ahora Te Puedes Marchar,Luis Miguel,80,1987-07-15,0.78,0.877,6.0,-3.683,0.0,0.0427,0.148,2.36e-06,0.0627,0.909,133.263,191973,4,83,bolero,11998993,energetic
Hey Ya!,Outkast,80,2003,0.727,0.974,4.0,-2.261,0.0,0.0664,0.103,0.000532,0.174,0.965,79.526,235213,4,76,atl hip hop,2203204,energetic
Kiss Me More (feat. SZA),Doja Cat,80,2021-06-25,0.764,0.705,8.0,-3.463,1.0,0.0284,0.259,8.92e-05,0.12,0.781,110.97,208667,4,87,dance pop,24974244,calm
Agudo Mágico 3,MC K.K,80,2022-10-10,0.649,0.797,6.0,-2.405,0.0,0.0504,0.221,0.0352,0.0728,0.49,129.966,176360,4,65,funk mandelao,22571,energetic
Wow.,Post Malone,80,2019-09-06,0.829,0.539,11.0,-7.359,0.0,0.208,0.136,1.78e-06,0.103,0.388,99.96,149547,4,89,dfw rap,40179245,calm
No Love,Shubh,80,2022-02-22,0.768,0.487,4.0,-8.936,0.0,0.0431,0.24,0.0,0.175,0.722,137.034,170388,4,74,punjabi hip hop,1206286,calm
Need to Know,Doja Cat,80,2021-06-25,0.664,0.609,1.0,-6.509,1.0,0.0707,0.304,0.0,0.0926,0.194,130.041,210560,4,87,dance pop,24974244,sad
Puro Campeón,Grupo Marca Registrada,80,2022-10-14,0.851,0.542,10.0,-8.152,1.0,0.122,0.361,3.73e-06,0.132,0.789,101.896,196437,4,82,corrido,2432975,calm
Poker Face,Lady Gaga,80,2008-01-01,0.851,0.806,4.0,-4.62,1.0,0.0787,0.118,1.64e-06,0.121,0.787,118.999,237200,4,87,art pop,25849277,energetic
DÁKITI,Bad Bunny,80,2020-10-30,0.731,0.573,4.0,-10.059,0.0,0.0544,0.401,5.22e-05,0.113,0.145,109.928,205090,4,98,reggaeton,67091189,sad
On BS,Drake,80,2022-11-04,0.841,0.358,9.0,-8.368,1.0,0.591,0.0201,0.0,0.39,0.329,158.014,261544,4,97,canadian hip hop,73660940,calm
Heathens,Twenty One Pilots,80,2016-06-16,0.732,0.396,4.0,-9.348,0.0,0.0286,0.0841,3.58e-05,0.105,0.548,90.024,195920,4,81,modern rock,23466124,sad
Ya Corazón,Gabito Ballesteros,80,2023-03-03,0.646,0.532,8.0,-7.434,1.0,0.0254,0.0783,2.97e-06,0.359,0.368,89.942,177667,3,80,corrido,110038,sad
Love Sosa,Chief Keef,80,2012-01-01,0.772,0.413,0.0,-8.193,0.0,0.089,0.0361,0.0,0.111,0.211,131.965,246213,4,75,chicago bop,3773003,sad
This Side of Paradise,Coyote Theory,80,2020-12-11,0.306,0.664,9.0,-6.07,1.0,0.0276,0.432,7.5e-06,0.135,0.321,158.283,242010,4,65,,105622,sad
Wait a Minute!,WILLOW,80,2015-01-11,0.764,0.705,3.0,-5.279,0.0,0.0278,0.0371,1.94e-05,0.0943,0.672,101.003,196520,4,74,afrofuturism,2284997,calm
Better Now,Post Malone,80,2018-04-27,0.68,0.578,10.0,-5.804,1.0,0.04,0.331,0.0,0.135,0.341,145.038,231267,4,89,dfw rap,40179245,sad
KU LO SA - A COLORS SHOW,Oxlade,80,2022-06-10,0.649,0.655,10.0,-5.534,0.0,0.0652,0.307,0.0,0.22,0.793,92.9,147581,4,69,nigerian pop,423715,happy
Vamos Para Arriba,Junior H,80,2022-06-03,0.699,0.51,5.0,-7.153,0.0,0.0352,0.498,0.0,0.22,0.625,98.07,172227,3,90,corridos tumbados,6665289,calm
You Give Love A Bad Name,Bon Jovi,80,1986-08-16,0.541,0.96,0.0,-2.947,0.0,0.0505,0.0663,2.25e-06,0.344,0.812,122.803,222707,4,79,glam metal,12033865,happy
Extssy Model,Junior H,80,2022-02-11,0.675,0.725,4.0,-4.766,0.0,0.0334,0.0839,0.0,0.334,0.469,92.513,240654,3,90,corridos tumbados,6665289,energetic
this is what falling in love feels like,JVKE,80,2022-09-23,0.422,0.44,11.0,-5.53,1.0,0.0544,0.617,0.0,0.0837,0.332,128.934,120308,5,81,modern indie pop,2017497,sad
Collide (Sped Up Remix),Justine Skye,80,2022-04-19,0.362,0.432,2.0,-9.359,0.0,0.112,0.0882,0.0,0.264,0.256,81.29,221169,4,72,pop,738193,calm
Snow On The Beach (feat. Lana Del Rey),Taylor Swift,80,2022-10-21,0.663,0.319,9.0,-13.481,1.0,0.0375,0.69,0.000993,0.117,0.193,109.957,256124,4,100,pop,71194980,sad
Maroon,Taylor Swift,80,2022-10-21,0.637,0.398,7.0,-8.294,1.0,0.0564,0.0573,1.03e-06,0.101,0.0374,108.075,218271,4,100,pop,71194980,sad
Diles,Bad Bunny,80,2016-08-26,0.813,0.56,2.0,-5.904,0.0,0.0618,0.108,0.0,0.268,0.287,118.033,286041,4,98,reggaeton,67091189,sad
Last Resort,Papa Roach,80,2001-04-25,0.589,0.89,4.0,-3.719,0.0,0.0603,0.000481,0.00082,0.201,0.692,90.598,199907,4,73,alternative metal,4693567,happy
Martin & Gina,Polo G,80,2020-05-15,0.832,0.534,1.0,-7.813,0.0,0.253,0.345,0.0,0.165,0.116,93.924,132833,4,84,chicago rap,9325312,calm
Mood (feat. iann dior),24kGoldn,80,2021-03-26,0.701,0.716,7.0,-3.671,0.0,0.0361,0.174,0.0,0.324,0.732,91.007,140533,4,73,cali rap,2002285,happy
Ghost in the Machine (feat. Phoebe Bridgers),SZA,80,2022-12-09,0.624,0.433,6.0,-9.572,1.0,0.0467,0.837,0.0294,0.113,0.589,124.979,218587,4,93,pop,11705818,sad
Angels Like You,Miley Cyrus,80,2020-11-27,0.672,0.642,5.0,-4.035,1.0,0.0313,0.0981,0.0,0.1,0.494,121.981,196453,4,92,pop,20250106,sad
Congratulations,Post Malone,80,2016-12-09,0.63,0.804,6.0,-4.183,1.0,0.0363,0.215,0.0,0.253,0.492,123.146,220293,4,89,dfw rap,40179245,energetic
Normal,Feid,80,2022-07-08,0.712,0.557,4.0,-4.861,0.0,0.115,0.0397,0.0,0.27,0.594,170.079,171987,4,93,colombian pop,4443557,calm
Clouded,Brent Faiyaz,80,2020-02-07,0.583,0.344,2.0,-8.765,1.0,0.0559,0.774,0.0,0.143,0.581,65.203,110129,3,83,dmv rap,3600997,sad
Smack That,Akon,80,2006-01-01,0.939,0.742,5.0,-5.171,0.0,0.0467,0.321,0.0,0.107,0.924,118.978,212360,4,81,dance pop,3679656,calm
Look At Me!,XXXTENTACION,80,2017-02-20,0.763,0.726,1.0,-6.405,1.0,0.282,0.259,0.0,0.0976,0.349,139.059,126346,4,88,emo rap,41056818,energetic
Rose Colored Lenses,Miley Cyrus,80,2023-03-10,0.539,0.503,2.0,-5.338,1.0,0.0385,0.0574,2.34e-05,0.0847,0.836,174.068,223787,4,92,pop,20250106,sad
ball w/o you,21 Savage,80,2018-12-21,0.892,0.633,8.0,-7.471,1.0,0.0902,0.0467,0.000189,0.139,0.459,137.994,195047,4,92,atl hip hop,13247393,sad
Después de la Playa,Bad Bunny,80,2022-05-06,0.564,0.903,5.0,-3.221,1.0,0.307,0.356,0.0,0.175,0.607,78.293,230400,4,98,reggaeton,67091189,energetic
a lot,21 Savage,80,2018-12-21,0.837,0.636,1.0,-7.643,1.0,0.086,0.0395,0.00125,0.342,0.274,145.972,288624,4,92,atl hip hop,13247393,sad
LOKERA,Rauw Alejandro,80,2023-01-24,0.836,0.826,11.0,-2.66,0.0,0.0461,0.213,6.03e-06,0.0814,0.579,102.025,197101,4,91,puerto rican pop,16261027,energetic
SLUT ME OUT,NLE Choppa,80,2022-04-22,0.938,0.606,6.0,-6.396,0.0,0.419,0.117,0.0,0.528,0.706,121.108,123673,4,80,memphis hip hop,5963499,calm
La Curiosidad,Jay Wheeler,80,2020-06-12,0.845,0.677,11.0,-4.798,0.0,0.136,0.269,0.000917,0.108,0.68,90.013,219048,4,78,reggaeton,3058529,calm
Often,The Weeknd,80,2015-08-28,0.572,0.631,7.0,-9.836,0.0,0.0476,0.222,0.0,0.135,0.0713,134.078,249040,4,98,canadian contemporary r&b,62165751,sad
Runnin,21 Savage,80,2020-10-02,0.819,0.626,10.0,-4.574,0.0,0.202,0.00748,0.101,0.167,0.415,143.01,195906,4,92,atl hip hop,13247393,calm
Waka Waka (This Time for Africa) [The Official 2010 FIFA World Cup (TM) Song] (feat. Freshlyground),Various Artists,80,2010-05-28,0.758,0.871,2.0,-6.408,1.0,0.147,0.0062,0.0,0.0663,0.753,126.994,202627,4,0,,1873341,energetic
Fuera del mercado,Danny Ocean,80,2022-02-17,0.453,0.673,8.0,-5.649,1.0,0.144,0.32,0.0,0.131,0.266,92.06,159849,4,79,latin pop,4841519,calm
High Hopes,Panic! At The Disco,80,2018-06-22,0.579,0.904,5.0,-2.729,1.0,0.0618,0.193,0.0,0.064,0.681,82.014,190947,4,79,modern rock,11769982,energetic
Otro Atardecer,Bad Bunny,80,2022-05-06,0.777,0.595,2.0,-6.79,1.0,0.0375,0.59,0.00139,0.0669,0.546,108.02,244444,4,98,reggaeton,67091189,sad
You Shook Me All Night Long,AC/DC,80,1980-07-25,0.532,0.767,7.0,-5.509,1.0,0.0574,0.00287,0.000513,0.39,0.755,127.361,210173,4,82,australian rock,26106234,happy
Favorite Song,Toosii,80,2023-02-17,0.816,0.367,2.0,-9.354,1.0,0.0588,0.314,0.0,0.0987,0.413,116.035,208630,4,72,north carolina hip hop,946159,sad
Praise The Lord (Da Shine) (feat. Skepta),A$AP Rocky,80,2018-05-25,0.854,0.569,5.0,-8.151,0.0,0.106,0.0609,0.0816,0.1,0.294,80.015,205040,4,83,east coast hip hop,12051038,calm
Hold Me Closer,Elton John,80,2022-08-26,0.667,0.75,0.0,-4.602,1.0,0.0906,0.0746,0.000198,0.197,0.486,126.041,202246,4,84,glam rock,11304400,energetic
I Was Made For Lovin' You,KISS,80,1979-03-23,0.768,0.852,4.0,-6.215,1.0,0.038,0.214,7.36e-05,0.0723,0.867,128.373,271240,4,74,album rock,8350156,energetic
Solo,Future,80,2017-07-27,0.784,0.486,5.0,-6.497,0.0,0.0475,0.0538,0.497,0.101,0.0894,110.964,265996,4,91,atl hip hop,13500762,calm
MEMORIAS,Mora,80,2022-04-01,0.771,0.707,2.0,-6.404,0.0,0.055,0.389,0.0,0.0745,0.317,127.963,228750,4,84,trap latino,1635636,sad
ULTRA SOLO REMIX,Polimá Westcoast,80,2022-06-16,0.909,0.824,1.0,-4.627,1.0,0.0797,0.0777,0.00387,0.0638,0.585,109.97,322347,4,76,reggaeton,465088,energetic
Titanium (feat. Sia),David Guetta,80,2012-12-07,0.604,0.787,0.0,-3.674,0.0,0.103,0.0679,0.15,0.127,0.301,126.062,245040,4,89,big room,25778023,energetic
Teenage Fever,Drake,80,2017-03-18,0.766,0.283,8.0,-10.33,0.0,0.0846,0.111,0.0172,0.115,0.144,97.04,219692,4,97,canadian hip hop,73660940,sad
nuts,Lil Peep,80,2022-12-02,0.51,0.739,2.0,-7.41,1.0,0.0415,0.00872,0.0,0.111,0.148,62.007,85360,4,84,emo rap,9857163,sad
Hold On,Chord Overstreet,80,2017-02-03,0.618,0.443,2.0,-9.681,1.0,0.0526,0.469,0.0,0.0829,0.167,119.949,198853,4,65,acoustic pop,158538,sad
Chicago Freestyle (feat. Giveon),Drake,80,2020-05-01,0.735,0.449,10.0,-7.507,1.0,0.347,0.629,0.0,0.113,0.0397,122.947,220488,4,97,canadian hip hop,73660940,calm
Rude Boy,Rihanna,80,2009-11-20,0.563,0.75,11.0,-4.496,1.0,0.127,0.113,0.0,0.0788,0.812,173.906,222920,4,92,barbadian pop,54178114,energetic
Cintamu Sepahit Topi Miring,Jogja Hip Hop Foundation,80,2013-10-06,0.741,0.801,11.0,-4.84,1.0,0.275,0.147,2.73e-05,0.0821,0.561,193.911,294053,4,65,indonesian hip hop,182692,energetic
Si Estuviésemos Juntos,Bad Bunny,80,2018-12-23,0.672,0.594,1.0,-6.813,0.0,0.0789,0.0626,5.14e-05,0.152,0.158,171.854,169248,4,98,reggaeton,67091189,sad
Cake By The Ocean,DNCE,80,2016-11-18,0.774,0.753,4.0,-5.446,0.0,0.0517,0.152,0.0,0.0371,0.896,119.002,219147,4,70,dance pop,4447560,happy
Daylight,Harry Styles,80,2022-05-20,0.686,0.445,0.0,-7.189,1.0,0.0398,0.484,0.00144,0.175,0.626,145.5,164533,3,90,pop,26880130,calm
The Chain - 2004 Remaster,Fleetwood Mac,80,1977-02-04,0.545,0.67,9.0,-8.81,1.0,0.0496,0.009,0.000822,0.0451,0.481,151.553,270213,4,82,album rock,9625075,sad
pa quererte,Rels B,80,2022-11-04,0.937,0.63,2.0,-6.063,0.0,0.0502,0.61,3.88e-06,0.0734,0.943,132.033,167273,4,83,r&b en espanol,4932353,calm
EARFQUAKE,"Tyler, The Creator",80,2019-05-17,0.554,0.498,9.0,-8.866,1.0,0.0685,0.23,5.98e-06,0.795,0.413,79.635,190067,4,88,hip hop,10893483,sad
"Kesariya (From ""Brahmastra"")",Pritam,80,2022-07-17,0.577,0.574,0.0,-6.525,1.0,0.0278,0.572,0.0,0.1,0.436,94.009,268165,4,88,filmi,12976344,sad
Nxde,(G)I-DLE,80,2022-10-17,0.726,0.91,4.0,-1.948,0.0,0.179,0.0413,7.81e-06,0.479,0.648,135.966,178453,4,75,k-pop,5407340,energetic
MAMIII,Becky G,80,2022-02-10,0.843,0.7,4.0,-3.563,0.0,0.0803,0.0934,0.0,0.14,0.899,93.991,226088,4,80,dance pop,13227490,calm
