name,artists_names,popularity,release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,artists_popularities,artists_genres,artists_followers,predicted_mood
red (feat. Morgan Wallen),HARDY,75,2023-01-20,0.582,0.878,11.0,-4.564,1.0,0.0404,0.0305,0.0,0.0791,0.581,140.03,205768,4,77,contemporary country,345428,energetic
Corazón partío,Alejandro Sanz,75,1997-08-28,0.648,0.846,0.0,-6.731,1.0,0.0424,0.199,4.23e-06,0.0803,0.815,160.075,343413,4,78,cantautor,7114148,happy
Baby (Lil Baby feat. DaBaby),Quality Control,75,2019-08-16,0.97,0.463,10.0,-7.259,1.0,0.366,0.0957,0.0,0.151,0.46,108.003,142417,4,68,hip hop,1181694,calm
Like a Tattoo,Sade,75,1992-10-26,0.557,0.16,5.0,-16.302,0.0,0.0315,0.922,0.000756,0.0996,0.133,136.01,218000,4,73,british soul,3168408,sad
Comunicação Falhou - Ao Vivo,Mari Fernandez,75,2022-04-20,0.612,0.882,5.0,-2.66,0.0,0.0501,0.416,0.0,0.676,0.793,145.974,180411,4,80,arrocha,1753485,happy
Sad Girl,Lana Del Rey,75,2014-01-01,0.345,0.587,5.0,-8.346,1.0,0.0364,0.539,0.0731,0.119,0.258,119.479,317760,4,92,art pop,22394347,sad
Fala Mal de Mim - Ao Vivo,Gusttavo Lima,75,2022-07-07,0.672,0.957,7.0,-4.272,1.0,0.0485,0.197,0.000481,0.386,0.895,160.005,204938,4,80,arrocha,19093723,happy
One More Night,Maroon 5,75,2012-01-01,0.716,0.821,5.0,-3.435,0.0,0.0314,0.0558,0.0,0.0844,0.618,92.997,219547,4,87,pop,40101393,energetic
Me Voy,Julieta Venegas,75,2006-05-25,0.575,0.679,2.0,-3.845,1.0,0.0278,0.0664,0.0,0.0956,0.601,107.878,187520,3,75,latin alternative,1932207,sad
Flaca,Andrés Calamaro,75,1997,0.739,0.745,7.0,-6.658,1.0,0.0267,0.21,0.0135,0.127,0.949,109.326,277653,4,70,argentine rock,2203678,happy
The Other Woman,Lana Del Rey,75,2014-01-01,0.255,0.468,7.0,-6.43,0.0,0.0317,0.822,0.248,0.339,0.175,111.67,181960,4,92,art pop,22394347,sad
Crew (feat. Brent Faiyaz & Shy Glizzy),GoldLink,75,2017-03-24,0.728,0.607,1.0,-8.417,0.0,0.132,0.133,0.0,0.0864,0.445,129.938,176702,4,67,dmv rap,834624,calm
