track_uri,name,artists_names,song_popularity,release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,artists_popularities,artists_genres,artists_followers,predicted_mood
open.spotify.com/track/76OGwb5RA9h4FxQPT33ekc,SNAP,Rosa Linn,89,2022-03-19,0.565,0.636,0.0,-8.198,1.0,0.0638,0.107,9.9e-06,0.447,0.525,170.01,179551,4,75,alt z,239302,calm
open.spotify.com/track/3k3NWokhRRkEPhCzPmV8TW,Ojitos Lindos,Bad Bunny,89,2022-05-06,0.647,0.686,3.0,-5.745,0.0,0.0413,0.08,1.34e-06,0.528,0.268,79.928,258299,4,98,reggaeton,67091189,sad
open.spotify.com/track/6TBzRwnX2oYd8aOrOuyK1p,Fin de Semana,Oscar Maydon,89,2023-01-13,0.699,0.541,0.0,-4.943,1.0,0.0826,0.0628,0.0,0.0916,0.365,98.395,224921,4,78,corrido,306750,energetic
open.spotify.com/track/54ELExv56KCAB4UP9cOCzC,Gato de Noche,Ñengo Flow,89,2022-12-22,0.892,0.662,8.0,-3.894,1.0,0.162,0.169,1.24e-06,0.363,0.607,93.976,227013,4,83,latin hip hop,4351004,happy
open.spotify.com/track/26b3oVLrRUaaybJulow9kz,People,Libianca,89,2022-12-06,0.573,0.422,10.0,-7.621,0.0,0.0678,0.551,1.31e-05,0.102,0.693,124.357,184791,5,75,,130844,calm
open.spotify.com/track/6Um358vY92UBv5DloTRX9L,Que Vuelvas,Carin Leon,89,2022-12-09,0.491,0.643,10.0,-4.309,1.0,0.0442,0.187,0.0,0.109,0.779,162.469,169419,4,85,corrido,5934383,happy
open.spotify.com/track/6BePGk3eCan4FqaW2X8Qy3,10:35,Tiësto,89,2022-11-03,0.696,0.793,8.0,-5.733,1.0,0.097,0.0683,3.78e-06,0.18,0.698,120.003,172253,4,86,big room,6816046,happy
open.spotify.com/track/1IHWl5LamUGEuP4ozKQSXZ,Tití Me Preguntó,Bad Bunny,89,2022-05-06,0.65,0.715,5.0,-5.198,0.0,0.253,0.0993,0.000291,0.126,0.187,106.672,243717,4,98,reggaeton,67091189,energetic
open.spotify.com/track/38UYeBLfvpnDSG9GznZdnL,Tormenta (feat. Bad Bunny),Gorillaz,89,2023-02-24,0.637,0.768,0.0,-6.468,1.0,0.056,0.458,0.00192,0.378,0.297,94.982,193464,4,84,alternative hip hop,10267756,sad
open.spotify.com/track/1DxEbt6OSbrkRthk6pjZue,MERCHO,LiL CaKe,89,2022-12-16,0.838,0.79,6.0,-1.602,0.0,0.108,0.431,3.33e-06,0.184,0.962,92.927,161452,4,74,trap argentino,103048,happy
