Rank,Title,Artist,Featuring,Last,Peak,Weeks,Released,Age,Popularity,Danceability,Energy,Key,Loudness,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration
87,"Love You, Miss You, Mean It",Luke Bryan,,88,87,3,2024-04-05,21,68,0.45,0.812,10,-4.338,0.0419,0.0185,0.00000274,0.0858,0.591,151.872,201806
88,Right About You,Post Malone,,-0,88,1,2024-08-15,2,71,0.442,0.858,5,-5.316,0.0337,0.00606,0,0.163,0.724,171.989,183046
89,Belong Together,Mark Ambor,,78,74,16,2024-02-16,28,89,0.646,0.668,2,-5.203,0.0282,0.491,0,0.212,0.64,90.969,148317
90,"I Love You, I'm Sorry",Gracie Abrams,,74,74,3,2024-06-21,10,87,0.53,0.406,10,-7.507,0.033,0.656,0,0.133,0.338,115.94,157146
91,Pretty Slowly,Benson Boone,,-0,91,1,2024-08-15,2,78,0.588,0.576,9,-5.82,0.0543,0.369,0,0.105,0.226,122.081,261420
92,Devil Is A Lie,Tommy Richman,,70,32,10,2023-08-25,53,66,0.722,0.388,2,-5.173,0.0348,0.000403,0.0000618,0.113,0.104,141.988,129507
93,Chihiro,Billie Eilish,,69,12,14,2024-05-17,15,91,0.7,0.425,7,-12.531,0.0529,0.144,0.879,0.083,0.521,110.015,303440
94,My Kink Is Karma,Chappell Roan,,81,81,3,2023-09-22,49,84,0.555,0.599,2,-5.695,0.052,0.00925,0,0.102,0.415,86.727,222578
95,U My Everything,Sexyy Red & Drake,,80,44,13,2024-05-24,14,75,0.624,0.796,6,-5.413,0.169,0.0541,0,0.258,0.704,145.212,225132
96,She's Somebody's Daughter (Reimagined),Drew Baldridge,,93,93,2,2022-09-30,100,35,0.456,0.488,6,-7.158,0.0302,0.183,0.0000215,0.138,0.263,172.158,209520
97,New Woman,LISA,Rosalia,-0,97,1,2024-08-15,2,91,0.477,0.854,7,-4.715,0.275,0.0858,0,0.065,0.314,140.515,225600
98,Sailor Song,Gigi Perez,,-0,98,1,2024-07-26,5,85,0.492,0.416,11,-10.439,0.0254,0.686,0.0000861,0.203,0.297,94.926,211978
99,Evergreen,Richy Mitch And The Coal Miners,,83,83,2,2017-05-17,380,88,0.555,0.216,3,-11.661,0.0721,0.557,0.00416,0.109,0.504,79.109,87000
100,American Nights,Zach Bryan,,79,21,7,2024-07-04,8,78,0.57,0.678,6,-5.629,0.0598,0.0309,0.00000992,0.104,0.358,137.581,218933
